CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL224771	374394	CHEMBL224771	374394		3b	291.43	4.88	3.24	0	CN1C2CCC1[C@H]([C@H](C2)c3ccc(C)cc3)c4ccccc4	1846578	IC50	=	1.96	nM	8.71	IC50	=	1.96	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	431028	CHEMBL915898	B	Displacement of [3H]WIN-35428 from DAT	1	Scientific Literature				Intermediate	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			35371	CHEMBL1140295	16279803	J. Med. Chem.	2005	48	23	7437			
CHEMBL87031	143073	CHEMBL87031	143073		13a	328.23	3.91	29.54	0	COC(=O)C1C2CCC(CC1c3ccc(Cl)c(Cl)c3)N2C	519024	IC50	=	2	nM	8.7	IC50	=	2	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61357	CHEMBL673259	B	Inhibition of [3H]WIN-35428 binding to the dopamine transporter in cynomolgus (macaca fascicularis) monkey caudate putamen.	1	Scientific Literature	Cercopithecidae		9527	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			15550	CHEMBL1133606	10956207	J. Med. Chem.	2000	43	16	2982			
CHEMBL279556	21086	CHEMBL279556	21086		BTCP	299.47	5.69	31.47	1	C1CCN(CC1)C2(CCCCC2)c3cc4ccccc4s3	13336153	IC50	=	2.6	nM	8.59	IC50	=	2.6	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	964155	CHEMBL2394810	B	Binding affinity to human dopamine transporter by radioligand displacement assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	73892	CHEMBL2390917	23582449	Bioorg. Med. Chem.	2013	21	10	2764			
CHEMBL14391	14241	CHEMBL14391	14241		19d	385.24	3.16	29.54	0	COC(=O)C1C2CCC(CC1c3ccc(I)cc3)N2C	563830	IC50	=	2.85	nM	8.55	IC50	=	2.85	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61485	CHEMBL672387	B	inhibition of [3H]WIN-35428 binding to the dopamine transporter (DAT) in monkey caudate-putamen.	1	Scientific Literature	Cercopithecidae		9527	Autocuration	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			14058	CHEMBL1130119	9276012	J. Med. Chem.	1997	40	17	2661			
CHEMBL1812749	1167775	CHEMBL1812749	1167775		4k	307.82	3.74	29.54	0	COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@H]1c3ccc(Cl)c(C)c3)N2C	6312615	IC50	=	3	nM	8.52	IC50	=	3	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	760468	CHEMBL1815453	B	Inhibition of human DAT expressed in HEK293 cells assessed as inhibition of [3H]DA reuptake after 10 mins by scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	58449	CHEMBL1811897	21058665	J. Med. Chem.	2010	53	23	8345	722	CHEMBL3307715	HEK293
CHEMBL130477	218282	CHEMBL130477	218282		3	298.77	3.03	35.83	0	OC1(N2CCCN=C2c3ccccc13)c4ccc(Cl)cc4	422043	IC50	=	3.7	nM	8.43	IC50	=	3.7	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61503	CHEMBL672997	F	Inhibition of dopamine uptake in HEK cells expressing human dopamine transporter (hDAT)	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	16613	CHEMBL1135775	12213053	J. Med. Chem.	2002	45	19	4097			
CHEMBL119561	192431	CHEMBL119561	192431	O-1186	27a-2 (O-928)						1035355	IC50	=	4	nM	8.4	IC50	=	4	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	58964	CHEMBL669521	B	In vitro affinity for dopamine transporter in Rhesus (Macaca mulatta) or Cynomolgus (Macaca fasicularis) monkey striata using [3H]WIN-35428 displacement.	1	Scientific Literature	Cercopithecidae		9527	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			17128	CHEMBL1145865	12877586	J. Med. Chem.	2003	46	16	3483			
CHEMBL117698	192686	CHEMBL117698	192686	Rhenium complex	12b (O-1561)						1031597	IC50	=	5.3	nM	8.28	IC50	=	5.3	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	58964	CHEMBL669521	B	In vitro affinity for dopamine transporter in Rhesus (Macaca mulatta) or Cynomolgus (Macaca fasicularis) monkey striata using [3H]WIN-35428 displacement.	1	Scientific Literature	Cercopithecidae		9527	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			17128	CHEMBL1145865	12877586	J. Med. Chem.	2003	46	16	3483			
CHEMBL3323179	1785750	CHEMBL3323179	1785750		10g	336.49	4.27	34.72	0	CN(C)Cc1ccc2C(CN(C)Cc2c1)c3ccc4sccc4c3	15025706	IC50	=	5.3	nM	8.28	IC50	=	5.3	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1450411	CHEMBL3379355	B	Displacement of [3H]WIN 35,428 from human DAT expressed in HEK293E cells after 1 hr by liquid scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	90560	CHEMBL3351632	25050161	ACS Med. Chem. Lett.	2014	5	7	760			
CHEMBL3323089	1785659	CHEMBL3323089	1785659		3a	263.33	3.63	16.38	0	CN1CC(c2ccc3occc3c2)c4ccccc4C1	15025721	IC50	=	5.7	nM	8.24	IC50	=	5.7	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1450411	CHEMBL3379355	B	Displacement of [3H]WIN 35,428 from human DAT expressed in HEK293E cells after 1 hr by liquid scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	90560	CHEMBL3351632	25050161	ACS Med. Chem. Lett.	2014	5	7	760			
CHEMBL3323184	1785755	CHEMBL3323184	1785755		10l	364.5	4.19	43.95	0	CN1CC(c2cc3ccccc3s2)c4ccc(cc4C1)N5CCOCC5	15025657	IC50	=	5.8	nM	8.24	IC50	=	5.8	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1450414	CHEMBL3379358	B	Displacement of [125I]-RTI-55 from recombinant DAT (unknown origin) expressed in HEK cells by saturation binding analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	90560	CHEMBL3351632	25050161	ACS Med. Chem. Lett.	2014	5	7	760			
CHEMBL202409	338753	CHEMBL202409	338753		9b	259.39	4.24	20.31	0	CC(C)CC(N1CCCC1)C(=O)c2ccc(C)cc2	1682411	IC50	=	5.9	nM	8.23	IC50	=	5.9	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	334925	CHEMBL859235	F	Inhibition of [3H] dopamine uptake into human DAT expressed in HEK293 cells	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	30737	CHEMBL1138144	16480278	J. Med. Chem.	2006	49	4	1420	722	CHEMBL3307715	HEK293
CHEMBL512202	513012	CHEMBL1187623	661573		7a	289.37	2.57	38.76	0	Cl.COC(=O)[C@@H]1[C@H]2CC[C@H](C[C@@H]1c3ccc(OC)cc3)N2C	2577736	IC50	=	6.5	nM	8.19	IC50	=	6.5	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	560914	CHEMBL1013549	B	Displacement of [3H]WIN-35428 from DAT	1	Scientific Literature				Intermediate	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			44794	CHEMBL1151730	19053748	J. Med. Chem.	2008	51	24	8048			
CHEMBL3703744	2037081	CHEMBL3703744	2037081		34	371.26	4.24	63.83	0	Nc1ccc(nn1)c2ccc3C(CNCc3c2)c4ccc(Cl)c(Cl)c4	15872354	IC50	=	7.1	nM	8.15	IC50	=	7.1	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528271	CHEMBL3705438	B	BindingDB_Patents: Radioligand Binding Assay. Compounds were dissolved in 100% DMSO at a concentration 100 times the desired highest assay concentration, serially diluted 1:3 in 100% DMSO, and 0.4 ul/well of each solution was dispensed to a Nunc polypropylene, round bottom, 384-well plate. 100% inhibition is defined with 0.4 ul/well of 1 mM GBR-12935 dissolved in DMSO. 20 ul/well of a 2x membrane preparation (12.5 ug/ml in 30 mM sodium phosphate buffer, pH 7.9 at 4 C.) and 20 ul/well of a 2x radioligand solution (250 uM [125I]RTI-55 in 30 mM sodium phosphate buffer, pH 7.9 at 4 C.) were added to the well and the reaction incubated for 1 hour at room temperature. The contents of the assay plate were then transferred to a Millipore MultiscreenHTS GF/B filter plate which was pretreated with 0.5% PEI for at least one hour. The plate was vacuum-filtered and washed with 7 washes of 100 ul/well 50 mM Tris-Cl, pH 7.5, 120 mM NaCl, 5 mM KCl chilled to 4 C.	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000249	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	94873	CHEMBL3639176			2015						
CHEMBL424627	218327	CHEMBL424627	218327		12	338.83	4.39	35.83	0	OC1(N2[C@H]3CCCC[C@H]3N=C2c4ccccc14)c5ccc(Cl)cc5	451938	IC50	=	8.4	nM	8.08	IC50	=	8.4	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61495	CHEMBL672989	B	Ability to displace [3H]WIN-35428 from dopamine transporter on guinea pig striatal membrane.	1	Scientific Literature	Cavia porcellus		10141	Expert	BAO_0000019	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			16614	CHEMBL1135776	12213054	J. Med. Chem.	2002	45	19	4110			
CHEMBL1683882	1074085	CHEMBL1683882	1074085		22	272.21	4.69	3.24	0	CN(C)CC1(CCCC1)c2ccc(Cl)c(Cl)c2	5238228	IC50	=	9	nM	8.05	IC50	=	9	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	726928	CHEMBL1686717	B	Inhibition of human recombinant dopamine transporter	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	55746	CHEMBL1681686	21310609	Bioorg. Med. Chem. Lett.	2011	21	5	1438			
CHEMBL3673170	2006198	CHEMBL3673170	2006198		48	463.86	6.24	38.25	1	Fc1cc(ccc1Cl)C23CCN(CC2)Cc4cc(Oc5ccc(nn5)C(F)(F)F)ccc34	15854707	IC50	=	10.1	nM	8	IC50	=	10.1	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528405	CHEMBL3705745	B	BindingDB_Patents: Radioligand Binding Assay. Compounds were dissolved in 100% DMSO at a concentration 100 times the desired highest assay concentration, serially diluted 1:3 in 100% DMSO, and 0.4 ul/well of each solution was dispensed to a Nunc polypropylene, round bottom, 384-well plate. 100% inhibition is defined with 0.4 ul/well of 1 mM GBR-12935 dissolved in DMSO. 20 ul/well of a 2x membrane preparation (12.5 ug/ml in 30 mM sodium phosphate buffer, pH 7.9 at 4 C.) and 20 ul/well of a 2x radioligand solution (250 pM [125I]RTI-55 in 30 mM sodium phosphate buffer, pH 7.9 at 4 C.) were added to the well and the reaction incubated for 1 hour at room temperature. The contents of the assay plate were then transferred to a Millipore MultiscreenHTS GF/B filter plate which was pretreated with 0.5% PEI for at least one hour. The plate was vacuum-filtered and washed with 7 washes of 100 ul/well 50 mM Tris-Cl, pH 7.5, 120 mM NaCl, 5 mM KCl chilled to 4 C.	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000249	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	94895	CHEMBL3639048			2015						
CHEMBL1642902	1057384	CHEMBL1642902	1057384		17a	306.23	4.76	26.02	0	NC[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	5129226	IC50	=	11	nM	7.96	IC50	=	11	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	699306	CHEMBL1647126	B	Inhibition of [3H]dopamine reuptake at human DAT expressed in CHOK1 cells by scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	54756	CHEMBL1641414	21093273	Bioorg. Med. Chem.	2011	19	1	663	485	CHEMBL3307512	CHO-K1
CHEMBL1643662	1058276	CHEMBL1643662	1058276		6a	285.4	3.75	51.33	0	Cc1cc(on1)[C@@H]2C3CCC(C[C@@H]2c4ccccc4)S3	5125363	IC50	=	12	nM	7.92	IC50	=	12	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	700608	CHEMBL1648597	B	Displacement of [3H]WIN35428 from human DAT transfected cell membrane	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	54711	CHEMBL1641369	21146984	Bioorg. Med. Chem. Lett.	2011	21	1	48			
CHEMBL1643512	1058094	CHEMBL1643512	1058094		14, SME	293.19	3.93	29.26	0	N[C@@H]1CCN(c2ccc(Cl)c(Cl)c2)c3ccccc13	5133426	IC50	=	12	nM	7.92	IC50	=	12	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	699575	CHEMBL1647933	B	Inhibition of human recombinant dopamine transporter	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	54767	CHEMBL1641425	21095126	Bioorg. Med. Chem. Lett.	2011	21	1	520			
CHEMBL3673179	2006208	CHEMBL3673179	2006208		30	460.03	3.7	52.24	0	CCS(=O)(=O)N1CCN(CC1)c2ccc3c(CN4CCC3(CC4)c5ccc(Cl)cc5)c2	15854689	IC50	=	13.6	nM	7.87	IC50	=	13.6	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528405	CHEMBL3705745	B	BindingDB_Patents: Radioligand Binding Assay. Compounds were dissolved in 100% DMSO at a concentration 100 times the desired highest assay concentration, serially diluted 1:3 in 100% DMSO, and 0.4 ul/well of each solution was dispensed to a Nunc polypropylene, round bottom, 384-well plate. 100% inhibition is defined with 0.4 ul/well of 1 mM GBR-12935 dissolved in DMSO. 20 ul/well of a 2x membrane preparation (12.5 ug/ml in 30 mM sodium phosphate buffer, pH 7.9 at 4 C.) and 20 ul/well of a 2x radioligand solution (250 pM [125I]RTI-55 in 30 mM sodium phosphate buffer, pH 7.9 at 4 C.) were added to the well and the reaction incubated for 1 hour at room temperature. The contents of the assay plate were then transferred to a Millipore MultiscreenHTS GF/B filter plate which was pretreated with 0.5% PEI for at least one hour. The plate was vacuum-filtered and washed with 7 washes of 100 ul/well 50 mM Tris-Cl, pH 7.5, 120 mM NaCl, 5 mM KCl chilled to 4 C.	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000249	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	94895	CHEMBL3639048			2015						
CHEMBL543876	546658	CHEMBL281594	24971		GBR-12909	450.56	6.11	15.71	1	Cl.Cl.Fc1ccc(cc1)C(OCCN2CCN(CCCc3ccccc3)CC2)c4ccc(F)cc4	13468962	IC50	=	14	nM	7.85	IC50	=	14	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	983923	CHEMBL2433692	B	Displacement of [3H]Win35428 from human recombinant DAT over-expressed in CHOK1 cells	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	75041	CHEMBL2429823	24012181	Bioorg. Med. Chem. Lett.	2013	23	20	5515	485	CHEMBL3307512	CHO-K1
CHEMBL3703743	2037080	CHEMBL3703743	2037080		33	356.25	4.45	37.81	0	Clc1ccc(cc1Cl)C2CNCc3cc(ccc23)c4cccnn4	15872353	IC50	=	15.4	nM	7.81	IC50	=	15.4	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528271	CHEMBL3705438	B	BindingDB_Patents: Radioligand Binding Assay. Compounds were dissolved in 100% DMSO at a concentration 100 times the desired highest assay concentration, serially diluted 1:3 in 100% DMSO, and 0.4 ul/well of each solution was dispensed to a Nunc polypropylene, round bottom, 384-well plate. 100% inhibition is defined with 0.4 ul/well of 1 mM GBR-12935 dissolved in DMSO. 20 ul/well of a 2x membrane preparation (12.5 ug/ml in 30 mM sodium phosphate buffer, pH 7.9 at 4 C.) and 20 ul/well of a 2x radioligand solution (250 uM [125I]RTI-55 in 30 mM sodium phosphate buffer, pH 7.9 at 4 C.) were added to the well and the reaction incubated for 1 hour at room temperature. The contents of the assay plate were then transferred to a Millipore MultiscreenHTS GF/B filter plate which was pretreated with 0.5% PEI for at least one hour. The plate was vacuum-filtered and washed with 7 washes of 100 ul/well 50 mM Tris-Cl, pH 7.5, 120 mM NaCl, 5 mM KCl chilled to 4 C.	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000249	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	94873	CHEMBL3639176			2015						
CHEMBL41011	57490	CHEMBL41011	57490		13	303.18	3.78	35.53	0	COC(=O)[C@@H]([C@H]1CCCCO1)c2ccc(Cl)c(Cl)c2	1152843	IC50	=	17	nM	7.77	IC50	=	17	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61355	CHEMBL673257	B	Inhibition of [3H]WIN-35428 Binding to the Dopamine Transporter in Rhesus (Macaca mulatta) orCynomolgus Monkey (Macaca fascicularis) Caudate-Putamen	1	Scientific Literature	Cercopithecidae		9527	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			17478	CHEMBL1136769	12672255	J. Med. Chem.	2003	46	8	1538			
CHEMBL1683888	1074091	CHEMBL1683888	1074091		28	269.79	4.68	3.24	0	CN(C)CC1(CCCCC1)c2ccc(Cl)c(F)c2	5238240	IC50	=	17	nM	7.77	IC50	=	17	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	726928	CHEMBL1686717	B	Inhibition of human recombinant dopamine transporter	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	55746	CHEMBL1681686	21310609	Bioorg. Med. Chem. Lett.	2011	21	5	1438			
CHEMBL86710	142785	CHEMBL86710	142785		8a	342.22	2.98	49.77	0	COC(=O)C1=C(CC2C[C@@H](O)C1N2C)c3ccc(Cl)c(Cl)c3	757196	IC50	=	19.4	nM	7.71	IC50	=	19.4	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61359	CHEMBL673261	B	Inhibition of [3H]WIN-35428 binding to Dopamine transporter in rhesus (Macaca mulatta) or cynomolgus monkey (Macaca fascicularis) caudate-putamen	1	Scientific Literature	Cercopithecidae		9527	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			16050	CHEMBL1134553	11472216	J. Med. Chem.	2001	44	16	2619			
CHEMBL1722	552883	CHEMBL796	49842	METHYLPHENIDATE HYDROCHLORIDE	(+/-)-1	233.31	2.18	38.33	0	Cl.COC(=O)C(C1CCCCN1)c2ccccc2	1503257	IC50	=	19.9	nM	7.7	IC50	=	19.9	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	306589	CHEMBL832936	F	Inhibition of [3H]dopamine uptake in HEK293 cells expressing human dopamine transporter	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	21665	CHEMBL1143600	15828826	J. Med. Chem.	2005	48	8	2876	722	CHEMBL3307715	HEK293
CHEMBL597000	596888	CHEMBL597000	596888		48, exo(se)	339.28	3.15	53.16	0	Cc1csc(C[C@H]2[C@@H]3CNC[C@]23c4ccc(Cl)c(Cl)c4)n1	3124670	IC50	=	19.95	nM	7.7	pIC50	=	7.7				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	613763	CHEMBL1068910	B	Inhibition of [3H]dopamine reuptake at human DAT expressed in LLCPK cells by scintillation proximity assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	49719	CHEMBL1157620	20170186	J. Med. Chem.	2010	53	6	2534			
CHEMBL1683870	1074073	CHEMBL1683870	1074073		1	272.21	4.61	12.03	0	CNCC1(CCCCC1)c2ccc(Cl)c(Cl)c2	5238250	IC50	=	21	nM	7.68	IC50	=	21	nM			1	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	726928	CHEMBL1686717	B	Inhibition of human recombinant dopamine transporter	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	55746	CHEMBL1681686	21310609	Bioorg. Med. Chem. Lett.	2011	21	5	1438			
CHEMBL226984	382996	CHEMBL226984	382996		4p	419.54	5.3	90.19	1	CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)c3ccc(C)cc3)c4ncc(s4)c5cccc(c5)[N+](=O)[O-]	1911458	IC50	=	23	nM	7.64	IC50	=	23	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	440429	CHEMBL890743	F	Inhibition of human DAT in HEK cells assessed as [3H]dopamine reuptake	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	36158	CHEMBL1146223	17602602	J. Med. Chem.	2007	50	15	3686			
CHEMBL340521	205771	CHEMBL340521	205771		2i	444.36	4.43	38.76	0	COC(=O)C1[C@H](CC2CCC1N2C)OC(c3ccccc3)c4ccc(Br)cc4	599409	IC50	=	24	nM	7.62	IC50	=	24	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61354	CHEMBL673256	B	Inhibition of [3H]WIN-35428 binding to the dopamine transporter in the cynomolgus (macaca fascicularis) monkey caudate-putamen.	1	Scientific Literature	Cercopithecidae		9527	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			13582	CHEMBL1129654	8558504	J. Med. Chem.	1996	39	2	371			
CHEMBL3703741	2037078	CHEMBL3703741	2037078		30	380.84	4.18	55.12	0	NC(=O)c1ccc(cc1)c2cc3CNCC(c4ccc(Cl)cc4)c3cc2F	15872351	IC50	=	24.5	nM	7.61	IC50	=	24.5	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528271	CHEMBL3705438	B	BindingDB_Patents: Radioligand Binding Assay. Compounds were dissolved in 100% DMSO at a concentration 100 times the desired highest assay concentration, serially diluted 1:3 in 100% DMSO, and 0.4 ul/well of each solution was dispensed to a Nunc polypropylene, round bottom, 384-well plate. 100% inhibition is defined with 0.4 ul/well of 1 mM GBR-12935 dissolved in DMSO. 20 ul/well of a 2x membrane preparation (12.5 ug/ml in 30 mM sodium phosphate buffer, pH 7.9 at 4 C.) and 20 ul/well of a 2x radioligand solution (250 uM [125I]RTI-55 in 30 mM sodium phosphate buffer, pH 7.9 at 4 C.) were added to the well and the reaction incubated for 1 hour at room temperature. The contents of the assay plate were then transferred to a Millipore MultiscreenHTS GF/B filter plate which was pretreated with 0.5% PEI for at least one hour. The plate was vacuum-filtered and washed with 7 washes of 100 ul/well 50 mM Tris-Cl, pH 7.5, 120 mM NaCl, 5 mM KCl chilled to 4 C.	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000249	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	94873	CHEMBL3639176			2015						
CHEMBL322605	165997	CHEMBL322605	165997		10b	294.39	4.47	26.3	0	COC(=O)[C@@H]1C2CCC(C2)CC1c3ccc4ccccc4c3	525547	IC50	=	25	nM	7.6	IC50	=	25	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61357	CHEMBL673259	B	Inhibition of [3H]WIN-35428 binding to the dopamine transporter in cynomolgus (macaca fascicularis) monkey caudate putamen.	1	Scientific Literature	Cercopithecidae		9527	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			15550	CHEMBL1133606	10956207	J. Med. Chem.	2000	43	16	2982			
